Day Week Ends On,Sort County x Week,County,Count Confirmed Cases Suppressed if 1-4,Count Probable Cases Suppressed if 1-4,Count Hospitalized Cases Suppressed if 1-4,Count Deceased Cases Suppressed if 1-4
7/24/2021 12:00:00 AM,336,Anderson,138,72,<5,<5
7/31/2021 12:00:00 AM,337,Anderson,237,99,9,<5
8/7/2021 12:00:00 AM,338,Anderson,507,138,13,<5
8/14/2021 12:00:00 AM,339,Anderson,769,196,23,<5
8/21/2021 12:00:00 AM,340,Anderson,961,198,29,11
8/28/2021 12:00:00 AM,341,Anderson,1311,275,28,12
9/4/2021 12:00:00 AM,342,Anderson,1633,338,35,20
9/11/2021 12:00:00 AM,343,Anderson,1302,246,45,28
9/18/2021 12:00:00 AM,344,Anderson,1115,207,46,33
9/25/2021 12:00:00 AM,345,Anderson,982,154,33,28
10/2/2021 12:00:00 AM,346,Anderson,705,118,21,23
10/9/2021 12:00:00 AM,347,Anderson,422,127,21,21
10/16/2021 12:00:00 AM,348,Anderson,356,55,14,20
10/23/2021 12:00:00 AM,349,Anderson,265,67,11,13
10/30/2021 12:00:00 AM,350,Anderson,214,56,10,10
11/6/2021 12:00:00 AM,351,Anderson,139,54,7,13
11/13/2021 12:00:00 AM,352,Anderson,140,79,<5,9
11/20/2021 12:00:00 AM,353,Anderson,196,61,11,<5
11/27/2021 12:00:00 AM,354,Anderson,180,60,13,7
12/4/2021 12:00:00 AM,355,Anderson,249,130,9,5
12/11/2021 12:00:00 AM,356,Anderson,286,136,11,<5
12/18/2021 12:00:00 AM,357,Anderson,297,122,8,6
3/21/2020 12:00:00 AM,358,Bamberg,<5,<5,<5,
4/4/2020 12:00:00 AM,359,Bamberg,5,<5,<5,
4/11/2020 12:00:00 AM,360,Bamberg,<5,<5,<5,
4/25/2020 12:00:00 AM,361,Bamberg,<5,<5,<5,
5/2/2020 12:00:00 AM,362,Bamberg,<5,<5,<5,
5/9/2020 12:00:00 AM,363,Bamberg,<5,<5,<5,
5/16/2020 12:00:00 AM,364,Bamberg,<5,<5,<5,
5/23/2020 12:00:00 AM,365,Bamberg,30,<5,<5,
5/30/2020 12:00:00 AM,366,Bamberg,<5,<5,<5,
6/6/2020 12:00:00 AM,367,Bamberg,13,<5,<5,
6/13/2020 12:00:00 AM,368,Bamberg,9,<5,<5,
6/20/2020 12:00:00 AM,369,Bamberg,22,<5,<5,
6/27/2020 12:00:00 AM,370,Bamberg,26,<5,<5,<5
7/4/2020 12:00:00 AM,371,Bamberg,56,<5,<5,<5
7/11/2020 12:00:00 AM,372,Bamberg,39,<5,<5,<5
7/18/2020 12:00:00 AM,373,Bamberg,97,<5,12,<5
7/25/2020 12:00:00 AM,374,Bamberg,59,<5,7,6
8/1/2020 12:00:00 AM,375,Bamberg,76,<5,<5,7
8/8/2020 12:00:00 AM,376,Bamberg,30,<5,8,8
8/15/2020 12:00:00 AM,377,Bamberg,26,<5,<5,<5
8/22/2020 12:00:00 AM,378,Bamberg,18,<5,<5,
8/29/2020 12:00:00 AM,379,Bamberg,22,<5,<5,<5
9/5/2020 12:00:00 AM,380,Bamberg,27,<5,<5,<5
9/12/2020 12:00:00 AM,381,Bamberg,17,<5,<5,<5
9/19/2020 12:00:00 AM,382,Bamberg,33,<5,<5,
9/26/2020 12:00:00 AM,383,Bamberg,17,<5,<5,
10/3/2020 12:00:00 AM,384,Bamberg,10,<5,<5,<5
10/10/2020 12:00:00 AM,385,Bamberg,<5,<5,<5,
10/17/2020 12:00:00 AM,386,Bamberg,11,<5,<5,
10/24/2020 12:00:00 AM,387,Bamberg,20,<5,<5,
